ID,TEMA ,NÍVEL,DESCRIÇÃO NÍVEL,OBS,ANO,ÓRGÃO,TIPO ÓRGÃO,ATUAÇÃO,DIMENSÃO,RESPONSAVEL,EMAIL,SETOR,CARGO
5.1.,Gerenciamento de Dados Mestres e Dados de Referência,2,2-BÁSICO,Campo person_id (Golden Record) em conecta-social/src/modules/shared/infra/postgres/migrations/iam.migration.ts,2026,Envolve LTDA,Privado,Desenvolvimento de software,Gerenciamento de Dados,,,,
5.2.,Ciclo de Vida dos Dados,2,2-BÁSICO,Armazenamento em Mongo/Postgres em conecta-social/src/modules/social/infra/database/mongodb/mongoDtos/mongodbDto.ts e conecta-social/src/modules/shared/infra/postgres/client/postgres.client.ts sem diretrizes de ciclo de vida,2026,Envolve LTDA,Privado,Desenvolvimento de software,Gerenciamento de Dados,,,,
5.3.,Dados não Estruturados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Gerenciamento de Dados,,,,
5.4.,Gerenciamento de dados geoespaciais,0,0-NÃO SE APLICA,Sem uso de dados geoespaciais no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Gerenciamento de Dados,,,,
6.1.,Infraestrutura e Ferramentas para Análise de Dados,2,2-BÁSICO,Infra basica de dados com Mongo/Postgres em conecta-social/src/modules/social/infra/database/mongodb/mongoDtos/mongodbDto.ts e conecta-social/src/modules/shared/infra/postgres/client/postgres.client.ts,2026,Envolve LTDA,Privado,Desenvolvimento de software,Análise de Dados,,,,
6.2.,Relevância e Suficiência dos Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Análise de Dados,,,,
6.3.,Desenvolvimento da Capacidade Analítica,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Análise de Dados,,,,
6.4.,Tomada de Decisão Baseada em Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Análise de Dados,,,,
7.1.,Padrões e Normas para Interoperabilidade,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Interoperabilidade de Dados,,,,
7.2.,Integração de Sistemas,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Interoperabilidade de Dados,,,,
7.3.,Monitoramento e Avaliação da Interoperabilidade,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Interoperabilidade de Dados,,,,
7.4.,Compartilhamento de Dados com Atores Externos,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Interoperabilidade de Dados,,,,
8.1.,Ética no Tratamento de Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Ética de Dados,,,,
9.1.,Gestão de Qualidade de Dados,2,2-BÁSICO,Validacoes Zod e testes de qualidade em conecta-social/src/modules/iam/tests/DataQuality.test.ts e conecta-social/src/modules/iam/mapper/user/User.input.ts,2026,Envolve LTDA,Privado,Desenvolvimento de software,Qualidade de Dados,,,,
9.2.,Cultura de Qualidade de Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Qualidade de Dados,,,,
9.3.,Medição e Controle da Qualidade de Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Qualidade de Dados,,,,
10.1.,Estratégia de Inteligência Artificial ,1,1-INICIAL,Sem evidencias no escopo conecta-social/src,2026,Envolve LTDA,Privado,Desenvolvimento de software,Inteligência Artificial,,,,
